school,name
國立中央大學,學生事務處
國立中央大學,生活輔導組
國立中央大學,職涯發展中心
國立中央大學,秘書室
國立中央大學,住宿服務組
國立中央大學,圖書館
國立中央大學,國際事務處
國立中央大學,電子計算機中心
國立中央大學,藝術學研究所
國立中央大學,英美語文學系
國立中央大學,法國語文學系
國立中央大學,理學院
國立中央大學,數學系
國立中央大學,統計研究所
國立中央大學,化學學系
國立中央大學,天文研究所
國立中央大學,物理學系
國立中央大學,土木工程學系
國立中央大學,機械工程學系
國立中央大學,管理學院
國立中央大學,資訊工程學系
國立中央大學,認知神經科學研究所
國立中央大學,客家學院
國立臺灣海洋大學,校長室
國立臺灣海洋大學,教務處
國立臺灣海洋大學,註冊課務組
國立臺灣海洋大學,招生組
國立臺灣海洋大學,學術服務組
國立臺灣海洋大學,實習暨就業輔導組
國立臺灣海洋大學,總務處
國立臺灣海洋大學,文書組
國立臺灣海洋大學,事務組
國立臺灣海洋大學,出納組
國立臺灣海洋大學,保管組
國立臺灣海洋大學,營繕組
國立臺灣海洋大學,環安組
國立臺灣海洋大學,駐衛警察隊
國立臺灣海洋大學,研究發展處
國立臺灣海洋大學,計畫業務組
國立臺灣海洋大學,學術發展組
國立臺灣海洋大學,產學技轉中心
國立臺灣海洋大學,研究船船務中心
國立臺灣海洋大學,國際事務處
國立臺灣海洋大學,國際合作組
國立臺灣海洋大學,國際學生事務組
國立臺灣海洋大學,人事室
國立臺灣海洋大學,校友服務中心
國立臺灣海洋大學,海運暨管理學院
國立臺灣海洋大學,商船學系
國立臺灣海洋大學,航運管理學系
國立臺灣海洋大學,輪機工程學系
國立臺灣海洋大學,海洋經營管理學士學位學程
國立臺灣海洋大學,生命科學院
國立臺灣海洋大學,水產養殖學系
國立臺灣海洋大學,海洋生物研究所
國立臺灣海洋大學,海洋科學與資源學院
國立臺灣海洋大學,海洋環境資訊系
國立臺灣海洋大學,工學院
國立臺灣海洋大學,系統工程暨造船學系
國立臺灣海洋大學,河海工程學系
國立臺灣海洋大學,食品科學系
國立臺灣海洋大學,電機資訊學院
國立臺灣海洋大學,電機工程學系
國立臺灣海洋大學,資訊工程學系
國立臺灣海洋大學,海洋工程科技博士學位學程
國立臺灣海洋大學,人文社會科學院
國立臺灣海洋大學,應用經濟研究所
國立臺灣海洋大學,海洋文化研究所
國立臺灣海洋大學,海洋法律與政策學院
國立臺灣海洋大學,海洋政策碩士學位學程
